,,,,
,Service Page GEO Audit Scorecard,,,
,Rate each element 0-10 using the scoring guide. Total score indicates GEO readiness.,,,
,,,,
,SCORING KEY:,0-3 Poor,4-6 Average,7-10 Excellent
,,,,
,Audit Element,Score,Scoring Guide (What to Look For),Notes
,CONTENT UNIQUENESS,,,
,Title Tag,,"0-3: Template ""[Service] in [City]"" | 4-6: Some uniqueness but similar structure | 7-10: Completely unique, mentions neighborhood + specialty",
,H1 Heading,,"0-3: Same as title or generic template | 4-6: Slightly differentiated | 7-10: Unique, impossible to reuse on other pages",
,Intro Paragraph,,"0-3: Generic, no local references | 4-6: Mentions city name only | 7-10: References specific streets, landmarks, local history",
,Overall Uniqueness,,0-3: <30% unique content | 4-6: 30-50% unique | 7-10: >50% unique content vs other location pages,
,LOCAL TRUST SIGNALS,,,
,Team Member/Expert,,"0-3: No named person | 4-6: Generic bio, no local ties | 7-10: Named person with local credentials, assigned to this area",
,Testimonials,,"0-3: ""John D."" style, no details | 4-6: Full names but no location | 7-10: Full names + specific streets/neighborhoods + dates",
,Case Studies,,"0-3: None | 4-6: Generic examples | 7-10: Specific local project with address, metrics, outcomes",
,Service Area Details,,"0-3: ""City and surrounding areas"" | 4-6: Lists neighborhoods | 7-10: Specific streets, landmarks, transit stops, micro-geo signals",
,TRANSACTIONAL ELEMENTS,,,
,Hero CTA,,0-3: No CTA in first fold | 4-6: Text link only | 7-10: Prominent button with clear action in hero section,
,Pricing Information,,"0-3: No pricing at all | 4-6: ""Call for quote"" only | 7-10: Specific price ranges for common services",
,FAQ Section,,"0-3: None | 4-6: Generic FAQs | 7-10: Location-specific questions with detailed, local answers",
,Contact Information,,0-3: Contact page link only | 4-6: Phone number somewhere | 7-10: Phone + address + hours prominently displayed,
,TECHNICAL & SCHEMA,,,
,LocalBusiness Schema,,"0-3: None | 4-6: Basic schema, missing fields | 7-10: Complete with address, geo, hours, areaServed neighborhoods",
,Service Schema,,"0-3: None | 4-6: Basic service type only | 7-10: Full schema with pricing, offers, service area",
,FAQPage Schema,,0-3: None | 4-6: Schema present but generic Qs | 7-10: Schema with location-specific Q&As,
,AggregateRating,,"0-3: None | 4-6: Rating without review count | 7-10: Full rating with review count, linked to real reviews",
,,,,
,RAW SCORE (out of 160),0,,
,GEO SCORE (0-100),0,,
,GRADE,F,90+ = A | 80-89 = B | 70-79 = C | 60-69 = D | <60 = F,
