20 TITLE REWRITES — Impulse English Academy La Vaguada,,,,,,
"All copy in Spanish, ready to paste into Yoast / RankMath. One H1 per page. H2s = main sections. H3s = subsections.",,,,,,
,,,,,,
#,URL Slug,NEW Title Tag,NEW Meta Description,H1,H2 Headers,H3 Headers
1,/blog/escala-cambridge/,"Escala Cambridge: Puntuaciones, Niveles y Equivalencias [Guía 2026]","¿Qué puntuación necesitas en los exámenes Cambridge? Descubre la escala oficial, equivalencias entre niveles A2–C2 y cómo se calcula tu nota. Tabla actualizada 2026.","Escala Cambridge: Puntuaciones, Niveles y Equivalencias","• ¿Qué es la escala Cambridge?
• Tabla de puntuaciones por examen (A2 Key – C2 Proficiency)
• Equivalencias con el Marco Europeo (MCER)
• ¿Qué puntuación necesitas para aprobar cada nivel?
• Cómo interpretar tu resultado Cambridge
• Preguntas frecuentes sobre la escala Cambridge","• Puntuaciones A2 Key y Key for Schools
• Puntuaciones B1 Preliminary (PET)
• Puntuaciones B2 First (FCE)
• Puntuaciones C1 Advanced (CAE)
• Puntuaciones C2 Proficiency (CPE)
• ¿La puntuación caduca?
• ¿Puedes subir de nivel con la puntuación?"
2,/blog/validez-certificado-b2-cambridge/,¿Cuánto Dura el B2 de Cambridge? Validez y Caducidad [2026],"¿El certificado B2 First de Cambridge caduca? Te explicamos la validez oficial, qué instituciones lo aceptan sin límite y cuándo sí te pueden pedir renovarlo.",¿Cuánto Dura el B2 de Cambridge? Validez y Caducidad,"• ¿El B2 First Certificate caduca oficialmente?
• ¿Qué dice Cambridge Assessment sobre la validez?
• Instituciones que aceptan el B2 sin fecha de caducidad
• Cuándo sí te piden un certificado reciente
• B2 First vs otros certificados: comparativa de validez
• Consejos si tu B2 tiene más de 2 años","• Universidades españolas
• Empresas y ofertas de empleo
• Oposiciones en España
• B2 First vs IELTS (validez 2 años)
• B2 First vs Linguaskill
• B2 First vs TOEFL"
3,/blog/nota-aprobar-b2-first/,Nota para Aprobar el B2 First de Cambridge — Puntuación Mínima [2026],"¿Cuántos puntos necesitas para aprobar el B2 First? Nota mínima (160), escala de puntuación, qué pasa si sacas menos y cómo subir tu nota. Guía actualizada.",Nota para Aprobar el B2 First de Cambridge: Puntuación Mínima,"• ¿Cuál es la nota mínima para aprobar el B2 First?
• Escala de calificaciones del B2 First (Grade A, B, C)
• ¿Qué pasa si no llegas a la nota mínima?
• Puntuación por sección: Reading, Writing, Listening, Speaking
• Consejos para subir tu nota en cada parte
• ¿Merece la pena repetir el examen?","• Grade A (180–190): nivel C1
• Grade B (173–179): B2 alto
• Grade C (160–172): B2
• Level B1 (140–159): no aprobado
• Reading & Use of English
• Writing
• Listening
• Speaking"
4,/examenes-cambridge/c1-advanced/,"Examen C1 Advanced (CAE) Cambridge: Estructura, Precios y Preparación [2026]","Todo sobre el C1 Advanced de Cambridge: estructura del examen, precio en Madrid, fechas 2026, consejos de preparación y dónde presentarte. Centro preparador oficial.",Examen C1 Advanced (CAE) de Cambridge: Guía Completa,"• ¿Qué es el C1 Advanced (CAE)?
• Estructura del examen C1 Advanced: las 4 partes
• Precio del examen C1 en Madrid [2026]
• Fechas del C1 Advanced en Madrid 2026
• Cómo preparar el C1 Advanced paso a paso
• Resultados y certificado: ¿cuánto tarda?
• Preguntas frecuentes sobre el C1 Advanced","• Reading & Use of English (90 min)
• Writing (90 min)
• Listening (40 min)
• Speaking (15 min)
• Centros examinadores en Madrid
• Plan de estudio de 6 meses
• Plan de estudio de 3 meses (intensivo)
• Recursos gratuitos recomendados"
5,/blog/precio-cambridge-c1-madrid/,Precio Examen C1 Cambridge en Madrid — Tasas y Centros [2026],"¿Cuánto cuesta el examen C1 Advanced en Madrid? Precio oficial 2026, centros examinadores, tasas de inscripción y cómo ahorrar en tu matrícula. Incluye comparativa.",Precio del Examen C1 Cambridge en Madrid [2026],"• ¿Cuánto cuesta el examen C1 Advanced en Madrid?
• Precio del C1 por centro examinador en Madrid
• ¿Qué incluye el precio del examen?
• Cómo ahorrar en la matrícula del C1
• Comparativa de precio: C1 Advanced vs IELTS vs Linguaskill
• Fechas y plazos de inscripción 2026","• British Council Madrid
• Cambridge School / Exams Madrid
• IH Madrid
• Descuentos por inscripción anticipada
• Precios grupo academia
• C1 Advanced vs IELTS Academic
• C1 Advanced vs Linguaskill"
6,/blog/tiempo-b2-a-c1/,¿Cuánto Tiempo Se Tarda en Pasar de B2 a C1? Plan Realista [2026],"Pasar de B2 a C1 lleva entre 6 y 12 meses según tu dedicación. Te damos un plan realista con horas de estudio, recursos y plazos para conseguir el C1 Advanced.",¿Cuánto Tiempo Se Tarda en Pasar de B2 a C1?,"• ¿Cuántas horas necesitas para pasar de B2 a C1?
• Factores que afectan al tiempo de preparación
• Plan de estudio realista: B2 → C1 en 6 meses
• Plan intensivo: B2 → C1 en 3 meses
• Errores comunes que retrasan tu progreso
• ¿Merece la pena el salto de B2 a C1?","• Horas según el Marco Europeo (MCER)
• Dedicación semanal recomendada
• Nivel real de partida
• Exposición al inglés fuera de clase
• Mes 1–2: Consolidar gramática avanzada
• Mes 3–4: Speaking y Writing intensivo
• Mes 5–6: Simulacros de examen
• Ventajas del C1 en el mercado laboral"
7,/blog/b1-vs-b2-que-nivel-necesito/,B1 vs B2: ¿Qué Nivel de Inglés Necesitas? Comparativa Completa [2026],"¿No sabes si necesitas B1 o B2? Comparamos ambos niveles: para qué sirve cada uno, qué piden en oposiciones, universidad y trabajo, y cuál te conviene más.",B1 vs B2: ¿Qué Nivel de Inglés Necesitas?,"• Diferencias reales entre B1 y B2
• B1 vs B2: ¿qué nivel piden en cada situación?
• Comparativa de exámenes: B1 Preliminary vs B2 First
• ¿Es mucho el salto de B1 a B2?
• Test rápido: ¿eres B1 o B2?
• Cómo pasar de B1 a B2 en el menor tiempo posible","• Diferencias en gramática y vocabulario
• Diferencias en comprensión y expresión
• Para oposiciones
• Para universidad
• Para trabajo
• Para emigrar
• Estructura del examen
• Precio y duración
• Tasa de aprobados"
8,/blog/c1-advanced-caduca/,¿El C1 Advanced de Cambridge Caduca? Validez Oficial [2026],"¿Caduca el certificado C1 Advanced de Cambridge? Respuesta oficial: NO caduca, pero algunas instituciones piden certificados recientes. Te explicamos cuándo y dónde.",¿El C1 Advanced de Cambridge Caduca?,"• Respuesta oficial de Cambridge sobre la caducidad del C1
• Dónde aceptan el C1 Advanced sin límite de tiempo
• Cuándo te pueden pedir un certificado C1 reciente
• C1 Advanced vs IELTS vs Linguaskill: comparativa de validez
• ¿Necesitas renovar tu C1? Alternativas","• Universidades españolas y europeas
• Empresas privadas
• Oposiciones públicas
• IELTS: caduca a los 2 años
• Linguaskill: variable según la institución
• TOEFL: caduca a los 2 años
• Repetir el C1 Advanced
• Sacar el Linguaskill como alternativa rápida"
9,/blog/precio-b1-cambridge/,Precio Examen B1 Cambridge (PET) en Madrid — Guía Actualizada [2026],"¿Cuánto cuesta el examen B1 Preliminary (PET) de Cambridge en Madrid? Precio oficial 2026, dónde inscribirte y cómo prepararlo sin arruinarte. Comparativa incluida.",Precio del Examen B1 Cambridge (PET) en Madrid,"• ¿Cuánto cuesta el B1 Preliminary en Madrid en 2026?
• Centros examinadores y precios en Madrid
• ¿Qué incluye el precio de inscripción?
• Cómo ahorrar en el examen B1
• Comparativa de precios: B1 vs B2 vs Linguaskill
• Fechas disponibles y plazos en Madrid 2026","• British Council Madrid
• Cambridge Exam Centres Madrid
• Descuentos para estudiantes y grupos
• Inscripción anticipada
• B1 Preliminary vs B2 First
• B1 Preliminary vs Linguaskill
• B1 Preliminary vs IELTS"
10,/examenes-cambridge/fechas-precios/,Fechas y Precios Exámenes Cambridge Madrid 2026 | Calendario Oficial,"Calendario completo de exámenes Cambridge en Madrid 2026: fechas B1, B2, C1 y C2, precios por nivel, centros de examen y plazos de inscripción actualizados.",Fechas y Precios de los Exámenes Cambridge en Madrid [2026],"• Calendario de exámenes Cambridge Madrid 2026
• Precios de cada examen Cambridge en Madrid
• Centros examinadores oficiales en Madrid
• Plazos de inscripción: ¿cuándo es el último día?
• Cómo inscribirse paso a paso
• Consejos para elegir la convocatoria adecuada","• Fechas B1 Preliminary (PET)
• Fechas B2 First (FCE)
• Fechas C1 Advanced (CAE)
• Fechas C2 Proficiency (CPE)
• Precio B1 Preliminary
• Precio B2 First
• Precio C1 Advanced
• Precio C2 Proficiency
• Convocatoria de junio vs diciembre"
