All 90 Redirect URLs from GSC — Categorized,,,,,
#,URL,Last Crawled,Problem Category,Redirects To,Fix
1,http://www.impulse-english.es/,Apr 2,HTTP → HTTPS,https://impulse-english.es/,Working correctly. Update external links.
2,https://www.impulse-english.es/,Mar 28,www → non-www,https://impulse-english.es/,Working correctly. Update external links.
3,http://impulse-english.es/,Mar 25,HTTP → HTTPS,https://impulse-english.es/,Working correctly. Update external links.
4,http://www.impulse-english.es/?trk=public_post_main-feed-card-text,Nov 2025,LinkedIn tracking param,https://impulse-english.es/,No fix needed — expected behavior
5,https://www.impulse-english.es/?trk=public_post_main-feed-card-text,Nov 2025,LinkedIn tracking param,https://impulse-english.es/,No fix needed — expected behavior
6,https://impulse-english.es/blogs-impulse/,Jan 3,Old URL slug,https://impulse-english.es/blog/,Redirect working. Leave as-is.
7,https://impulse-english.es/blog-3/,Mar 22,Old URL slug,https://impulse-english.es/blog/,Redirect working. Leave as-is.
8,https://impulse-english.es/academia-ingles-barrio-del-pilar,Mar 21-26,Missing trailing slash,https://impulse-english.es/academia-ingles-barrio-del-pilar/,Add trailing slash to internal link
9,https://impulse-english.es/politica-cookies,Mar 21-26,Missing trailing slash,https://impulse-english.es/politica-cookies/,Add trailing slash to internal link
10,https://impulse-english.es/linguaskill,Mar 21-26,Missing trailing slash,https://impulse-english.es/linguaskill/,Add trailing slash to internal link
11,https://impulse-english.es/academia-ingles-montecarmelo-las-tablas,Mar 21-26,Missing trailing slash,https://impulse-english.es/academia-ingles-montecarmelo-las-tablas/,Add trailing slash to internal link
12,https://impulse-english.es/academia-ingles-mirasierra,Mar 21-26,Missing trailing slash,https://impulse-english.es/academia-ingles-mirasierra/,Add trailing slash to internal link
13,https://impulse-english.es/academia-ingles-la-vaguada,Mar 21-26,Missing trailing slash,https://impulse-english.es/academia-ingles-la-vaguada/,Add trailing slash to internal link
14,https://impulse-english.es/blog/ingles-online-vs-presencial,Mar 21-26,Missing trailing slash,https://impulse-english.es/blog/ingles-online-vs-presencial/,Add trailing slash to internal link
15,https://impulse-english.es/blog/academia-vs-profesor-particular,Mar 21-26,Missing trailing slash,https://impulse-english.es/blog/academia-vs-profesor-particular/,Add trailing slash to internal link
16,https://impulse-english.es/linguaskill/precios-fechas,Mar 21-26,Missing trailing slash,https://impulse-english.es/linguaskill/precios-fechas/,Add trailing slash to internal link
17,https://impulse-english.es/cursos-ingles/particulares,Mar 21-26,Missing trailing slash,https://impulse-english.es/cursos-ingles/particulares/,Add trailing slash to internal link
18,https://impulse-english.es/blog/cambridge-vs-linguaskill-diferencias,Mar 21-26,Missing trailing slash,https://impulse-english.es/blog/cambridge-vs-linguaskill-diferencias/,Add trailing slash to internal link
19,https://impulse-english.es/cursos-ingles/secundaria,Mar 21-26,Missing trailing slash,https://impulse-english.es/cursos-ingles/secundaria/,Add trailing slash to internal link
20,https://impulse-english.es/blog/registro-cambridge,Mar 21-26,Missing trailing slash,https://impulse-english.es/blog/registro-cambridge/,Add trailing slash to internal link
21,https://impulse-english.es/blog/edad-empezar-ingles-bebes,Mar 21-26,Missing trailing slash,https://impulse-english.es/blog/edad-empezar-ingles-bebes/,Add trailing slash to internal link
22,https://impulse-english.es/linguaskill/curso-intensivo,Mar 21-26,Missing trailing slash,https://impulse-english.es/linguaskill/curso-intensivo/,Add trailing slash to internal link
23,https://impulse-english.es/blog/c1-advanced-caduca,Mar 21-26,Missing trailing slash,https://impulse-english.es/blog/c1-advanced-caduca/,Add trailing slash to internal link
24,https://impulse-english.es/blog/b1-vs-b2-que-nivel-necesito,Mar 21-26,Missing trailing slash,https://impulse-english.es/blog/b1-vs-b2-que-nivel-necesito/,Add trailing slash to internal link
25,https://impulse-english.es/blog/hijo-preparar-cambridge,Mar 21-26,Missing trailing slash,https://impulse-english.es/blog/hijo-preparar-cambridge/,Add trailing slash to internal link
26,https://impulse-english.es/blog/ingles-colegio-suficiente,Mar 21-26,Missing trailing slash,https://impulse-english.es/blog/ingles-colegio-suficiente/,Add trailing slash to internal link
27,https://impulse-english.es/blog/verguenza-hablar-ingles,Mar 21-26,Missing trailing slash,https://impulse-english.es/blog/verguenza-hablar-ingles/,Add trailing slash to internal link
28,https://impulse-english.es/blog/great-little-people-metodologia,Mar 21-26,Missing trailing slash,https://impulse-english.es/blog/great-little-people-metodologia/,Add trailing slash to internal link
29,https://impulse-english.es/blog/ninos-confusion-dos-idiomas,Mar 21-26,Missing trailing slash,https://impulse-english.es/blog/ninos-confusion-dos-idiomas/,Add trailing slash to internal link
30,https://impulse-english.es/blog/linguaskill-casa-fiable,Mar 21-26,Missing trailing slash,https://impulse-english.es/blog/linguaskill-casa-fiable/,Add trailing slash to internal link
